Clave,Unidad,Nombre del producto,Cantidad,Precio de Compra,Precio de Venta,Reserva,Precios de venta adicionales (opcional),Información Adicional,Categoría
1,-,9 ORO AGRIDULCE X200GS.,9999,585.00,650.00,1,,,9 DE ORO
2,-,9 ORO AZUCARADO X210GS.,9999,585.00,650.00,1,,,9 DE ORO
3,-,9 ORO CLASICO X200GS.,9999,585.00,650.00,1,,,9 DE ORO
4,-,9 ORO LIGHT X170GS.,9999,585.00,650.00,1,,,9 DE ORO
5,-,9 ORO SALVADO X200GS.,9999,585.00,650.00,1,,,9 DE ORO
6,-,9 ORO CARA SUCIA  X200GS.,9999,585.00,650.00,1,,,9 DE ORO
7,-,ALIC AJI TRITURADO 12x25,9999,6629.40,7366.00,1,,,ALICANTE
8,-,ALIC AJO TRITURADO 12X50,9999,11786.40,13096.00,1,,,ALICANTE
9,-,ALIC ANIS E/GRANO 12X25,9999,8148.60,9054.00,1,,,ALICANTE
10,-,ALIC AZAFRAN X2U,9999,3382.20,3758.00,1,,,ALICANTE
11,-,ALIC BICARBONATO 25X50G,9999,12147.30,13497.00,1,,,ALICANTE
12,-,ALIC CALDO 12UX6 VERD R E/SODIO,9999,2946.60,3274.00,1,,,ALICANTE
13,-,ALIC CALDO 12UX7.5 4 QUESOS,9999,2946.60,3274.00,1,,,ALICANTE
14,-,ALIC CALDO 12UX7.5 ALBAHACA/AJO,9999,2946.60,3274.00,1,,,ALICANTE
15,-,ALIC CALDO 12UX7.5 CARNE,9999,2946.60,3274.00,1,,,ALICANTE
16,-,ALIC CALDO 12UX7.5 CHAM/HONGO,9999,2946.60,3274.00,1,,,ALICANTE
17,-,ALIC CALDO 12UX7.5 CREMA/VERDEO,9999,2946.60,3274.00,1,,,ALICANTE
18,-,ALIC CALDO 12UX7.5 F/HIERBAS,9999,2946.60,3274.00,1,,,ALICANTE
19,-,ALIC CALDO 12UX7.5 GALLINA,9999,2946.60,3274.00,1,,,ALICANTE
20,-,ALIC CALDO 12UX7.5 PANCETA,9999,2946.60,3274.00,1,,,ALICANTE
21,-,ALIC CALDO 12UX7.5 VERDURA,9999,2946.60,3274.00,1,,,ALICANTE
22,-,ALIC CANELA MOLIDA12X25,9999,12593.70,13993.00,1,,,ALICANTE
23,-,ALIC CEBOLLA DESH X50G.,9999,1485.00,1650.00,1,,,ALICANTE
24,-,ALIC CHIMICHURRI  X25G.,9999,740.70,823.00,1,,,ALICANTE
25,-,ALIC COCO RAYADO X50,9999,828.00,920.00,1,,,ALICANTE
26,-,ALIC COMINO 12x25G,9999,10067.40,11186.00,1,,,ALICANTE
27,-,ALIC COND. P/ARROZ 12X25,9999,9270.00,10300.00,1,,,ALICANTE
