id,nombre,costo,precio_venta
1,9 ORO AGRIDULCE X200GS.,585.0,650.0
2,9 ORO AZUCARADO X210GS.,585.0,650.0
3,9 ORO CLASICO X200GS.,585.0,650.0
4,9 ORO LIGHT X170GS.,585.0,650.0
5,9 ORO SALVADO X200GS.,585.0,650.0
6,9 ORO CARA SUCIA  X200GS.,585.0,650.0
7,ALIC AJI TRITURADO 12x25,6629.4,7366.0
8,ALIC AJO TRITURADO 12X50,11786.4,13096.0
9,ALIC ANIS E/GRANO 12X25,8148.6,9054.0
10,ALIC AZAFRAN X2U,3382.2,3758.0
11,ALIC BICARBONATO 25X50G,12147.3,13497.0
12,ALIC CALDO 12UX6 VERD R E/SODIO,2946.6,3274.0
13,ALIC CALDO 12UX7.5 4 QUESOS,2946.6,3274.0
14,ALIC CALDO 12UX7.5 ALBAHACA/AJO,2946.6,3274.0
15,ALIC CALDO 12UX7.5 CARNE,2946.6,3274.0
16,ALIC CALDO 12UX7.5 CHAM/HONGO,2946.6,3274.0
17,ALIC CALDO 12UX7.5 CREMA/VERDEO,2946.6,3274.0
18,ALIC CALDO 12UX7.5 F/HIERBAS,2946.6,3274.0
19,ALIC CALDO 12UX7.5 GALLINA,2946.6,3274.0
20,ALIC CALDO 12UX7.5 PANCETA,2946.6,3274.0
21,ALIC CALDO 12UX7.5 VERDURA,2946.6,3274.0
22,ALIC CANELA MOLIDA12X25,12593.7,13993.0
23,ALIC CEBOLLA DESH X50G.,1485.0,1650.0
24,ALIC CHIMICHURRI  X25G.,740.7,823.0
25,ALIC COCO RAYADO X50,828.0,920.0
26,ALIC COMINO 12x25G,10067.4,11186.0
27,ALIC COND. P/ARROZ 12X25,9270.0,10300.0
28,ALIC COND. P/AVES 12X25,5631.3,6257.0
29,ALIC COND. P/CARNE 12X25,10223.1,11359.0
30,ALIC COND. P/EMPAN 12x25,10851.3,12057.0
31,ALIC COND. P/MILANESA 12x25,8537.4,9486.0
32,ALIC COND. P/PESCADO 12X25,7389.9,8211.0
33,ALIC COND. P/PIZZA 12X25,7022.7,7803.0
34,ALIC COND. P/TUCO 12X25,6992.1,7769.0
35,ALIC COND. P/VEGET 25X25,0.0,0.0
36,ALIC ESTRAGON 12X10GS.,5395.5,5995.0
37,ALIC EXT. VAINILLA 1X100CC,1059.3,1177.0
38,ALIC LAUREL HOJAS 10G,990.0,1100.0
39,ALIC LAUREL TRITUR 12X25,10566.0,11740.0
40,ALIC NUEZ MOSC. ENTERA,1403.1,1559.0
41,ALIC NUEZ MOSC. MOLIDA,17912.7,19903.0
42,ALIC PEREJIL DES. X25GS,1042.2,1158.0
43,ALIC PIMENTON 24X25,13126.5,14585.0
44,ALIC PIMIE BCA GNO12X25,12838.5,14265.0
